Date,Australia
2005,71.2
2005.25,71.6
2005.5,71.7
2005.75,71.6
2006,71.6
2006.25,72
2006.5,72.4
2006.75,72.4
2007,72.5
2007.25,72.8
2007.5,72.9
2007.75,73.1
2008,73.2
2008.25,73.3
2008.5,73.2
2008.75,73
2009,72.5
2009.25,72
2009.5,71.7
2009.75,71.9
2010,72.1
2010.25,72.1
2010.5,72.5
2010.75,72.8
2011,72.9
2011.25,72.7
2011.5,72.6
2011.75,72.4
2012,72.5
2012.25,72.4
2012.5,72.3
2012.75,72.2
2013,72.3
2013.25,72.1
2013.5,71.9
2013.75,71.6
2014,71.6
2014.25,71.5
2014.5,71.5
2014.75,71.5
2015,71.8
2015.25,72
2015.5,72.1
2015.75,72.5
2016,72.6
2016.25,72.4
2016.5,72.3
2016.75,72.1
2017,72.2
2017.25,72.6
2017.5,73
2017.75,73.2
2018,73.3
2018.25,73.3
2018.5,73.5
2018.75,73.7
2019,73.9
2019.25,74
2019.5,74.2
2019.75,74.1
2020,74.2
2020.25,70.2
2020.5,71.7
2020.75,73.2
2021,74
2021.25,74.8
2021.5,74.5
2021.75,74.9
2022,76.4
2022.25,76.8
2022.5,77.2
2022.75,77.2
2023,77.2
2023.25,77.2
2023.5,77.2
2023.75,77.1
2024,76.8
2024.25,76.8
2024.5,77.2
