Time period,"Life satisfaction
",Worthwhile,"Happiness
",Anxiety
Apr to June 2011 (Q2),7.4,7.6,7.3,3.2
July to Sept 2011 (Q3),7.4,7.7,7.3,3.1
Oct to Dec 2011 (Q4),7.4,7.7,7.2,3.1
Jan to Mar 2012 (Q1),7.4,7.7,7.3,3.1
Apr to June 2012 (Q2),7.4,7.7,7.3,3.1
July to Sept 2012 (Q3),7.5,7.7,7.3,3.0
Oct to Dec 2012 (Q4),7.5,7.7,7.3,3.0
Jan to Mar 2013 (Q1),7.4,7.7,7.3,3.0
Apr to June 2013 (Q2),7.5,7.7,7.4,2.9
July to Sept 2013 (Q3),7.5,7.7,7.4,2.9
Oct to Dec 2013 (Q4),7.5,7.7,7.3,3.0
Jan to Mar 2014 (Q1),7.5,7.8,7.4,2.9
Apr to June 2014 (Q2),7.6,7.8,7.5,2.9
July to Sept 2014 (Q3),7.6,7.8,7.5,2.9
Oct to Dec 2014 (Q4),7.6,7.8,7.4,2.9
Jan to Mar 2015 (Q1),7.6,7.8,7.4,2.8
Apr to June 2015 (Q2),7.7,7.9,7.5,2.8
July to Sept 2015 (Q3),7.6,7.8,7.5,2.8
Oct to Dec 2015 (Q4),7.6,7.8,7.4,3.0
Jan to Mar 2016 (Q1),7.6,7.8,7.4,2.9
Apr to June 2016 (Q2),7.7,7.9,7.5,2.9
July to Sept 2016 (Q3),7.7,7.9,7.5,2.9
Oct to Dec 2016 (Q4),7.7,7.8,7.5,2.9
Jan to Mar 2017 (Q1),7.7,7.9,7.5,3.0
Apr to June 2017 (Q2),7.7,7.9,7.6,2.9
July to Sept 2017 (Q3),7.7,7.9,7.5,2.9
Oct to Dec 2017 (Q4),7.7,7.9,7.5,2.9
Jan to Mar 2018 (Q1),7.7,7.9,7.4,2.9
Apr to June 2018 (Q2),7.7,7.9,7.6,2.8
July to Sept 2018 (Q3),7.7,7.9,7.6,2.9
Oct to Dec 2018 (Q4),7.7,7.9,7.5,2.9
Jan to Mar 2019 (Q1),7.7,7.9,7.5,2.9
Apr to June 2019 (Q2),7.7,7.9,7.6,2.9
July to Sept 2019 (Q3),7.7,7.9,7.5,2.9
Oct to Dec 2019 (Q4),7.7,7.8,7.5,3.0
Jan to Mar 2020 (Q1),7.6,7.8,7.3,3.3
Apr to June 2020 (Q2),7.5,7.8,7.3,3.4
July to Sept 2020 (Q3),7.5,7.8,7.5,3.2
Oct to Dec 2020 (Q4),7.3,7.7,7.2,3.4
Jan to Mar 2021 (Q1),7.3,7.7,7.3,3.2
Apr to June 2021 (Q2),7.6,7.8,7.5,3.0
July to Sept 2021 (Q3),7.6,7.8,7.5,3.1
Oct to Dec 2021 (Q4),7.6,7.8,7.4,3.2
Jan to Mar 2022 (Q1),7.5,7.8,7.4,3.2
Apr to June 2022 (Q2),7.5,7.8,7.5,3.2
July to Sept 2022 (Q3),7.5,7.8,7.4,3.2
Oct to Dec 2022 (Q4),7.5,7.8,7.4,3.3
Jan to Mar 2023 (Q1),7.4,7.7,7.3,3.3
Apr to June 2023 (Q2),7.5,7.8,7.5,3.1
July to Sept 2023 (Q3),7.5,7.8,7.4,3.2
Oct to Dec 2023 (Q4),7.5,7.8,7.4,3.3
Jan to Mar 2024 (Q1),7.5,7.8,7.3,3.2
Apr to June 2024 (Q2),7.5,7.8,7.4,3.2
July to Sept 2024 (Q3),7.5,7.8,7.5,3.1
Oct to Dec 2024 (Q4),7.5,7.8,7.4,3.2
Jan to Mar 2025 (Q1),7.5,7.8,7.4,3.2
,,,,
